ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_family_code,employment_family_total_thousands,employment_weight_within_family,employment_estimate_method,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,structural_risk,structural_risk_band,transition_adjusted_risk,transition_adjusted_band,transition_adjusted_impact_type,realized_risk_proxy,adaptation_capacity,adaptation_buffer,demand_fragility,reallocation_capacity,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,scoring_basis,baseline_v42_exposure,baseline_v42_net_risk,baseline_v42_risk_band,baseline_v42_augmentation,baseline_v42_impact_type,baseline_v43_exposure,baseline_v43_net_risk,baseline_v43_risk_band,baseline_v43_augmentation,baseline_v43_impact_type,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
12112,Administration manager,MANAGERS,6388,4569,8431,7.5,7.5,estimated_sg_submajor_weighted_2025,12,188.7,0.039497,wage_only,derived_from_official_sg,,external_proxy,0.7879,0.7219,0.4945,0.7214,0.1581,moderate,0.2813,low,ai_leveraged,,,,,,,,,,,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
12221,Advertising/Public relations manager,MANAGERS,8514,5943,13333,8.6,8.6,estimated_sg_submajor_weighted_2025,12,188.7,0.045598,wage_only,derived_from_official_sg,,external_proxy,0.7180,0.6961,0.5844,0.5496,0.1199,low,0.2920,low,ai_leveraged,,,,,,,,,,,,true,-0.1368,false,exact,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8862,1.0000,0.8500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
13430,Aged care services manager,MANAGERS,7759,6091,9997,4.8,4.8,estimated_sg_submajor_weighted_2025,13,121.7,0.039806,wage_only,derived_from_official_sg,,external_proxy,0.3433,0.7389,0.4745,0.7327,0.0657,low,0.1204,very_low,ai_leveraged,,,,,,,,,,,,true,-0.1622,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
14330,Arts and cultural centre manager (including gallery and museum manager),MANAGERS,4550,3800,6650,3.2,3.2,estimated_sg_submajor_weighted_2025,14,42.7,0.075538,wage_only,derived_from_official_sg,,external_proxy,0.5724,0.9447,0.4421,0.7505,0.0237,very_low,0.2391,low,ai_leveraged,,,,,,,,,,,,true,0.1662,false,false,reliability_weighted,divergent,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,divergent_exposure_sources,medium,0.6624,0.8200,0.4500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
14322,Attractions manager,MANAGERS,6195,4300,8080,3.8,3.8,estimated_sg_submajor_weighted_2025,14,42.7,0.088142,wage_only,derived_from_official_sg,,external_proxy,0.4133,0.8904,0.5120,0.7115,0.0322,very_low,0.1884,very_low,ai_leveraged,,,,,,,,,,,,true,-0.0192,false,false,reliability_weighted,aligned_mid,2,aioe:0.4780|anthropic:0.5220,false,,medium,0.5174,0.5500,0.8500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
12113,Audit manager,MANAGERS,10041,7692,14166,9.3,9.3,estimated_sg_submajor_weighted_2025,12,188.7,0.049518,wage_only,derived_from_official_sg,,external_proxy,0.7879,0.7219,0.5679,0.6847,0.1500,moderate,0.3230,low,ai_leveraged,,,,,,,,,,,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
12111,Budgeting and financial accounting manager (including financial controller),MANAGERS,9203,6550,14200,8.9,8.9,estimated_sg_submajor_weighted_2025,12,188.7,0.047407,wage_only,derived_from_official_sg,,external_proxy,0.7879,0.7219,0.5914,0.6719,0.1472,low,0.3364,low,ai_leveraged,,,,,,,,,,,,true,-0.0373,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
12212,Business development manager,MANAGERS,8669,5957,13189,8.7,8.7,estimated_sg_submajor_weighted_2025,12,188.7,0.046011,wage_only,derived_from_official_sg,,external_proxy,0.7738,0.7291,0.5538,0.6936,0.1454,low,0.3124,low,ai_leveraged,,,,,,,,,,,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
12242,Call centre manager,MANAGERS,5968,4114,8310,7.2,7.2,estimated_sg_submajor_weighted_2025,12,188.7,0.038176,wage_only,derived_from_official_sg,,external_proxy,0.7109,0.4572,0.4985,0.7206,0.2781,moderate,0.1621,very_low,mixed,,,,,,,,,,,,true,0.1357,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.7646,0.8200,0.9500,0.6500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
14122,Catering manager,MANAGERS,4697,3675,6160,3.3,3.3,estimated_sg_submajor_weighted_2025,14,42.7,0.076749,wage_only,derived_from_official_sg,,external_proxy,0.4380,0.4742,0.4412,0.7493,0.1726,moderate,0.0916,very_low,stable,,,,,,,,,,,,true,0.1257,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7814,1.0000,0.4500,0.8500,V7,,,,,,,,,,,,direct,,external_proxy,false,,,false
